1721419451210,83,-80,4,0,17,9,18,8,17,8,18,7,18,6,18,6,18,5,19,4,19,4,21,3,21,3,21,3,22,4,22,3,23,4,22,6,22,7,20,7,19,8,18,9,17,9,15,9,16,13,10,13,13,10,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,5,14,4,14,4,13,4,13,3,14,3,13,3,13,4,13,4,13,5,13,5,12,5,11,6,11,7,11,7,13,10,8,13,10,9,9,11,9,12,9,13,9,14,8,15,8,16,9
1721419451229,83,-80,4,0,-24,3,-25,3,-23,3,-24,4,-23,5,-23,6,-22,7,-23,8,-22,9,-23,13,10,-23,13,10,-24,13,10,-25,11,-25,13,10,-26,9,-26,8,-26,7,-26,5,-25,4,-25,3,-24,2,-22,1,-22,0,-21,-2,-21,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-10,-16,-11,-15,-11,-15,-11,-14,-11,-14,-12,-13,-11,-13,-11,-13,-10,-13,-10,-13,-10,-14,-9,-14,-8,-14,-7,-15,-7,-15,-6,-16,-5,-16,-4,-18,-2,-18,-1,-19,0,-20,1,-21,1,-23,2
1721419451249,83,-80,4,0,23,-1,23,-2,23,-2,23,-3,22,-4,22,-5,22,-5,22,-7,22,-7,23,-8,23,-8,24,-9,25,-9,25,-8,26,-8,26,-6,26,-5,25,-4,24,-2,24,-1,22,0,22,1,21,2,20,3,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,10,13,11,13,11,12,11,12,11,12,12,11,11,11,11,11,11,11,13,10,12,13,10,12,9,12,8,12,8,13,7,13,6,14,5,15,4,16,3,17,2,18,1,19,0,20,0,22,-1,23
1721419451272,83,-80,4,0,2,19,2,20,2,19,3,19,4,19,4,19,6,18,6,18,7,18,8,19,8,19,8,19,8,21,7,20,8,22,6,21,5,22,4,21,3,20,2,20,1,19,0,18,-1,18,-2,17,-3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,13,-9,13,-10,11,-10,11,-9,13,10,-10,11,-10,13,10,-9,13,10,-9,13,10,-9,13,10,-8,11,-8,11,-7,11,-7,11,-6,11,-5,12,-4,12,-3,13,-2,14,-1,15,0,15,0,16,1,17,1
1721419451290,83,-80,4,0,1,23,1,23,2,23,3,22,4,22,4,22,5,22,6,22,8,22,8,22,8,23,8,24,8,24,8,25,7,26,5,26,5,25,3,26,2,24,1,24,-2,22,-2,22,-3,21,-4,20,-6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,16,-10,15,-11,14,-11,13,-11,13,-11,13,-11,12,-10,12,-10,12,-10,12,-9,13,-8,13,-8,13,-7,13,-7,13,-6,14,-5,14,-4,15,-3,16,-1,17,-1,18,0,20,1,20,1,22,2,22,2,24
1721419451311,83,-80,4,0,-7,21,-6,22,-5,21,-5,22,-4,21,-3,21,-2,22,-1,21,0,22,0,23,0,23,0,24,0,25,0,25,-1,26,-3,25,-4,25,-5,24,-6,23,-7,22,-8,20,-8,19,-9,19,-10,18,-11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,11,-14,13,10,-15,9,-15,8,-14,7,-14,8,-14,7,-14,7,-13,8,-13,7,-13,8,-12,9,-12,9,-11,9,-11,13,10,-10,11,-9,12,-8,12,-7,14,-7,15,-7,16,-6,18,-6,18,-6,20,-6,21
1721419451330,83,-80,4,0,5,19,5,19,6,18,6,18,7,18,8,17,9,17,9,16,13,10,17,11,17,11,17,11,18,11,18,11,19,12,19,13,10,20,9,20,8,20,6,19,5,19,4,18,3,18,2,18,1,17,-1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,15,-7,14,-7,12,-7,12,-7,12,-8,12,-7,12,-7,12,-7,12,-6,11,-6,12,-5,12,-5,12,-4,12,-3,12,-2,13,-2,13,0,13,1,13,2,14,3,15,3,16,4,17,4,18,5,19
1721419451349,83,-80,4,0,20,0,20,0,19,-1,19,-1,19,-2,19,-2,19,-4,19,-4,19,-5,19,-6,20,-6,20,-6,21,-6,21,-5,22,-5,22,-3,22,-3,22,-1,21,0,20,1,19,2,18,3,18,3,16,4,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,12,9,11,9,13,10,9,13,10,9,9,13,10,9,13,10,9,9,9,9,9,8,13,10,8,13,10,7,11,6,11,6,11,5,11,5,12,4,12,3,14,2,15,2,16,1,17,0,17,0
1721419451369,83,-80,4,0,-10,-18,-10,-19,-10,-18,-10,-18,-11,-17,-12,-16,-12,-16,-13,-16,-14,-15,-15,-16,-15,-16,-15,-16,-16,-17,-15,-17,-16,-18,-14,-18,-14,-19,-13,-19,-11,-19,-10,-19,-9,-18,-7,-17,-6,-18,-5,-18,-4,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-16,4,-15,4,-15,4,-14,4,-14,4,-14,4,-13,4,-13,3,-13,3,-13,3,-13,2,-13,2,-13,1,-13,0,-14,-1,-13,-2,-14,-3,-14,-4,-14,-5,-15,-7,-15,-7,-16,-8,-16,-9,-17,-9,-18,-9,-19
1721419451389,83,-80,4,0,-16,17,-16,17,-15,18,-14,17,-14,18,-13,19,-12,19,-11,20,-11,20,-11,22,-11,22,-11,22,-12,23,-12,23,-13,23,-15,23,-15,22,-15,20,-16,19,-16,18,-16,16,-17,14,-18,13,-17,12,-18,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,4,-18,2,-18,1,-18,1,-17,1,-17,0,-16,1,-16,1,-15,1,-16,1,-16,2,-15,3,-16,3,-15,4,-15,5,-15,6,-14,7,-14,8,-13,13,10,-14,11,-14,12,-14,14,-14,15,-16,16,-16,17
1721419451413,83,-80,4,0,19,6,19,5,19,4,19,4,19,3,19,2,19,1,19,1,19,0,20,0,21,-1,21,0,21,0,22,0,22,1,22,2,21,3,21,4,20,4,19,5,18,6,17,7,16,7,14,8,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,8,13,7,12,7,12,6,12,6,12,6,12,6,11,6,11,6,11,7,11,7,13,10,8,13,10,8,9,9,9,9,8,13,10,7,11,7,12,6,14,6,15,5,16,5,16,5,18,5,19
1721419451433,83,-80,4,0,5,22,5,22,6,22,6,21,6,20,8,20,8,20,9,19,13,10,20,11,20,11,20,11,20,11,21,11,22,11,22,13,10,23,9,24,7,23,6,22,5,22,3,21,2,20,1,20,0,19,-2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,16,-8,15,-9,13,-9,13,-9,13,-9,13,-9,13,-8,13,-7,13,-8,13,-7,13,-7,13,-6,13,-5,13,-4,13,-4,14,-2,14,-1,15,0,16,1,16,2,17,3,18,4,20,4,21,4,22
1721419451449,83,-80,4,0,22,8,22,8,22,8,21,7,22,6,22,5,21,4,22,3,23,3,24,2,24,2,25,2,25,3,26,3,26,4,26,5,25,7,24,8,22,8,22,9,20,9,19,13,10,18,11,16,12,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,8,16,7,15,7,15,6,15,6,15,6,14,6,14,6,14,7,14,7,14,7,13,8,12,8,12,9,11,13,10,11,11,13,10,12,13,10,14,8,15,8,16,8,17,8,19,8,20,8
1721419451469,83,-80,4,0,-20,7,-19,8,-19,8,-18,8,-17,9,-17,13,10,-17,13,10,-16,11,-17,12,-17,13,-17,13,-18,13,-18,13,-19,13,-19,13,-21,12,-19,11,-19,13,10,-19,9,-20,7,-19,6,-19,5,-18,4,-18,3,-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-4,-15,-5,-14,-6,-14,-6,-14,-6,-13,-6,-13,-6,-13,-5,-13,-5,-14,-5,-13,-5,-13,-4,-13,-3,-14,-3,-13,-2,-14,-1,-14,0,-14,1,-14,2,-15,3,-16,4,-16,5,-17,6,-18,7,-19
1721419451489,83,-80,4,0,14,17,14,17,14,16,15,16,15,15,15,14,16,14,17,13,18,13,19,13,19,13,19,14,20,14,20,15,20,15,19,17,18,18,16,18,15,18,14,18,11,17,11,17,13,10,17,8,17,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,17,-1,16,-1,15,-2,15,-2,16,-2,15,-1,15,-1,15,0,14,0,15,0,14,2,14,2,14,3,14,4,14,5,13,6,13,7,14,8,14,13,10,14,11,15,12,15,13,16,14,17
1721419451510,83,-80,4,0,22,-6,22,-6,22,-7,22,-7,21,-8,20,-10,20,-10,20,-11,20,-12,21,-13,21,-13,21,-13,22,-14,22,-13,24,-13,24,-12,25,-10,24,-9,23,-8,23,-6,22,-5,21,-3,21,-2,20,-1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,16,7,15,8,14,8,14,8,13,8,13,8,13,8,13,7,13,7,14,7,14,6,14,5,14,4,14,3,14,2,15,1,16,0,17,-2,17,-2,18,-4,19,-4,20,-4,22,-5,22,-6,23,-6
1721419451530,83,-80,4,0,-6,22,-6,23,-5,22,-5,23,-4,22,-3,22,-2,22,-1,22,0,23,0,24,0,24,0,25,0,26,0,26,-1,27,-2,26,-3,26,-5,25,-5,24,-6,23,-7,21,-9,20,-9,19,-10,18,-11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,12,-15,11,-15,9,-15,9,-15,8,-15,8,-14,8,-14,8,-13,9,-13,8,-13,9,-12,9,-12,13,10,-11,13,10,-11,11,-10,12,-9,13,-8,13,-8,15,-7,16,-7,17,-6,19,-6,19,-7,21,-6,22
1721419451550,83,-80,4,0,-20,4,-21,4,-19,5,-20,5,-19,6,-19,7,-18,7,-19,8,-18,9,-19,13,10,-19,13,10,-20,13,10,-21,13,10,-20,9,-22,9,-21,8,-22,7,-22,6,-21,4,-20,3,-20,2,-19,2,-19,1,-18,0,-18,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,-6,-15,-7,-14,-7,-14,-8,-13,-7,-13,-8,-13,-8,-12,-8,-12,-7,-12,-6,-13,-6,-13,-5,-13,-5,-13,-4,-14,-4,-13,-3,-14,-2,-14,-1,-15,0,-16,1,-17,2,-17,3,-18,3,-19,4
1721419451570,83,-80,4,0,-24,-6,-24,-6,-23,-5,-23,-4,-23,-4,-24,-3,-24,-2,-24,-1,-24,0,-25,1,-25,1,-26,1,-27,0,-27,0,-28,-1,-27,-2,-27,-3,-26,-4,-25,-5,-24,-6,-22,-7,-21,-7,-21,-8,-19,-9,-18,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-15,-11,-16,-10,-15,-10,-15,-9,-15,-9,-15,-8,-15,-9,-15,-9,-14,-9,-14,-10,-13,-10,-13,-11,-12,-11,-11,-12,-11,-13,-11,-14,-10,-14,-9,-16,-8,-17,-7,-18,-7,-19,-7,-20,-6,-22,-6,-23,-6,-24,-7
1721419451590,83,-80,4,0,8,-19,8,-19,8,-19,7,-19,6,-19,6,-19,5,-19,4,-20,4,-20,3,-21,4,-22,3,-22,4,-23,4,-22,5,-24,6,-22,7,-22,7,-21,9,-20,9,-19,13,10,-17,13,10,-16,11,-15,11,-14,12,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-9,13,-8,13,-7,13,-6,13,-6,13,-6,12,-5,12,-6,12,-6,12,-6,11,-6,11,-7,11,-7,13,10,-8,13,10,-9,9,-9,9,-10,8,-11,8,-12,8,-13,8,-14,8,-16,7,-16,8,-18
