1721668958286,83,-80,4,0,-6,-20,-7,-21,-6,-20,-7,-20,-7,-19,-8,-19,-8,-19,-9,-18,-9,-19,-10,-19,-10,-19,-10,-19,-11,-20,-10,-20,-10,-21,-8,-20,-8,-21,-7,-20,-6,-19,-5,-19,-4,-18,-3,-17,-3,-17,-1,-17,0,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-9,-1,-10,-1,-10,-1,-11,-1,-11,-1,-13,0,-13,0,-14,0,-14,1,-14,1,-15,1,-15,1,-14,0,-14,0,-15,-1,-15,-2,-16,-2,-16,-3,-17,-4,-17,-4,-18,-5,-18,-5,-19,-5,-20,-6,-20,-6,-21
1721668958307,83,-80,4,0,17,-18,16,-18,15,-18,16,-18,14,-19,14,-19,13,-19,12,-20,12,-21,11,-22,11,-22,12,-22,13,-22,13,-22,13,-22,14,-22,14,-20,14,-19,15,-18,14,-17,15,-15,14,-14,14,-13,14,-12,15,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-6,8,-6,9,-7,9,-7,13,10,-8,11,-8,12,-8,13,-8,14,-8,14,-7,15,-7,14,-7,15,-7,14,-8,14,-9,14,-10,14,-10,14,-12,14,-13,14,-13,15,-15,15,-16,15,-16,17,-17,17,-18,17
1721668958327,83,-80,4,0,0,24,1,25,1,23,2,23,3,23,3,23,4,22,5,23,5,22,7,23,7,23,7,23,7,24,6,24,6,25,5,24,4,24,3,24,2,22,1,22,0,20,-1,19,-1,19,-2,19,-4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9,-2,11,-2,13,10,-3,12,-3,12,-4,14,-4,14,-5,15,-5,15,-5,15,-6,16,-6,16,-5,16,-5,16,-5,16,-4,17,-4,17,-3,17,-2,19,-2,20,-1,21,0,21,0,22,0,23,1,24,1
1721668958347,83,-80,4,0,18,16,18,16,17,16,18,15,18,14,18,14,19,13,19,13,20,13,21,12,21,12,21,13,21,13,21,14,21,14,20,15,19,16,18,16,16,15,15,15,14,15,13,15,12,15,13,10,15,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,8,7,8,8,9,8,13,10,8,11,8,12,8,13,8,14,8,14,8,15,7,15,8,15,8,14,9,14,9,14,13,10,14,11,14,12,14,14,14,15,14,16,15,16,16,17,16,18
1721668958367,83,-80,4,0,11,-23,11,-22,13,10,-23,9,-22,8,-22,8,-22,8,-22,6,-23,5,-24,5,-24,5,-24,5,-25,6,-25,6,-25,7,-25,8,-25,8,-23,9,-23,9,-21,9,-20,13,10,-19,13,10,-17,13,10,-17,13,10,-16,11,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-9,5,-9,6,-10,6,-11,8,-11,8,-12,9,-12,13,10,-12,11,-12,12,-12,11,-13,11,-13,12,-13,12,-13,11,-13,11,-14,13,10,-15,11,-16,13,10,-17,13,10,-17,13,10,-19
1721668958387,83,-80,4,0,-12,-19,-12,-19,-12,-19,-12,-19,-12,-18,-12,-17,-13,-17,-14,-17,-14,-16,-16,-16,-16,-16,-16,-16,-16,-17,-15,-18,-15,-18,-14,-18,-13,-19,-12,-19,-10,-18,-10,-18,-8,-17,-8,-16,-8,-16,-6,-16,-5,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-9,-5,-10,-5,-10,-5,-11,-5,-11,-5,-13,-4,-14,-4,-15,-3,-15,-4,-15,-4,-16,-4,-16,-4,-16,-4,-15,-5,-16,-5,-16,-6,-16,-6,-16,-8,-17,-8,-17,-9,-17,-9,-18,-10,-18,-12,-19,-12,-19,-12,-20
1721668958407,83,-80,4,0,-21,15,-21,16,-18,15,-19,16,-19,16,-18,16,-17,16,-17,17,-16,17,-16,19,-16,19,-17,19,-18,20,-17,18,-18,19,-18,17,-19,17,-19,15,-18,13,-18,13,-18,11,-17,13,10,-17,13,10,-17,9,-17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,6,-10,6,-11,6,-12,7,-12,7,-14,7,-15,7,-16,6,-16,6,-16,6,-17,6,-17,6,-17,6,-17,7,-17,7,-17,8,-17,9,-17,9,-18,11,-18,11,-18,12,-19,13,-18,13,-19,15,-20,15
1721668958429,83,-80,4,0,21,-9,21,-9,19,-10,19,-10,19,-10,19,-11,18,-11,18,-12,17,-13,17,-14,17,-14,18,-14,18,-14,19,-13,19,-13,19,-12,19,-11,19,-10,18,-9,18,-8,17,-7,17,-6,17,-6,16,-5,16,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-4,9,-3,13,10,-4,11,-4,12,-4,13,-3,13,-3,14,-2,15,-2,15,-2,15,-2,15,-2,16,-2,16,-2,16,-3,16,-3,16,-4,16,-4,17,-6,18,-6,18,-7,19,-7,19,-8,20,-9,20,-9,21
1721668958446,82,-96,4,0,-15,14,-15,14,-15,14,-14,14,-14,14,-13,14,-12,15,-12,15,-11,16,-11,16,-11,16,-12,16,-12,17,-12,17,-13,16,-13,16,-13,15,-13,14,-13,13,-13,12,-13,11,-13,13,10,-13,9,-13,9,-13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,5,-8,6,-9,6,-9,6,-10,6,-11,6,-12,6,-12,6,-13,6,-13,5,-14,6,-14,6,-14,6,-14,6,-13,6,-14,7,-13,8,-13,8,-14,9,-14,11,-14,11,-14,12,-15,12,-15,13,-15,13,-16
1721668958458,83,-80,4,0,-12,16,-12,16,-12,16,-11,16,-11,16,-10,16,-9,17,-9,17,-8,17,-8,18,-8,18,-9,18,-8,18,-9,18,-9,18,-10,18,-10,17,-11,16,-11,15,-11,14,-11,12,-11,12,-11,11,-11,13,10,-12,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,7,-6,7,-7,7,-8,8,-8,8,-9,8,-10,9,-10,9,-11,9,-12,8,-12,9,-12,9,-12,8,-12,9,-12,9,-12,13,10,-12,13,10,-11,11,-11,12,-11,12,-11,13,-11,14,-12,15,-12,16
