1721764054354,83,-80,4,0,-8,20,-8,20,-7,19,-7,18,-6,18,-5,18,-5,17,-4,17,-3,17,-2,18,-2,18,-2,17,-2,18,-2,17,-2,17,-3,17,-2,17,-3,16,-2,15,-3,16,-3,15,-3,15,-4,16,-4,15,-6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-2,13,-3,13,-4,14,-4,14,-5,15,-7,15,-8,15,-8,15,-9,15,-8,16,-8,15,-9,15,-8,15,-8,15,-8,16,-8,16,-8,16,-7,17,-7,18,-7,18,-7,19,-6,20,-7,21,-7,21,-7,21
1721764054374,83,-80,4,0,-22,2,-22,2,-20,2,-20,3,-19,3,-19,4,-18,4,-18,4,-17,5,-18,6,-18,6,-17,6,-18,6,-17,6,-17,6,-17,6,-17,5,-16,5,-15,5,-16,5,-15,4,-15,4,-17,4,-16,4,-17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,4,-13,4,-14,3,-15,2,-15,2,-16,1,-17,1,-17,0,-17,-1,-18,-1,-18,-1,-18,-1,-18,-1,-18,-1,-18,-1,-18,-1,-18,0,-18,0,-19,1,-19,2,-20,2,-20,2,-21,3,-22,3,-22,3,-23,3
1721764054393,83,-80,4,0,-19,-12,-19,-12,-17,-10,-17,-10,-17,-9,-17,-9,-17,-8,-17,-7,-17,-6,-18,-6,-18,-6,-18,-6,-18,-6,-17,-6,-18,-7,-17,-6,-17,-7,-16,-6,-15,-7,-16,-6,-15,-6,-15,-6,-16,-7,-15,-8,-15,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-3,-13,-5,-13,-5,-14,-7,-13,-7,-14,-9,-14,-9,-14,-10,-13,-11,-14,-10,-14,-11,-14,-11,-14,-11,-14,-11,-14,-11,-14,-11,-15,-11,-15,-10,-17,-10,-17,-10,-17,-10,-18,-10,-18,-10,-20,-10,-21,-10,-21,-11
1721764054414,83,-80,4,0,-33,12,-32,13,-29,12,-29,13,-28,13,-27,13,-26,14,-25,15,-24,16,-24,17,-24,18,-24,18,-25,18,-23,17,-24,18,-23,16,-23,16,-22,15,-21,14,-21,15,-22,13,-21,13,-23,14,-23,12,-25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,11,-19,11,-20,13,10,-22,9,-22,9,-24,8,-25,7,-26,7,-26,6,-27,6,-27,6,-27,6,-28,6,-27,6,-27,6,-27,7,-27,7,-27,8,-28,13,10,-28,11,-29,12,-30,13,-30,13,-31,15,-33,15
1721764054433,83,-80,4,0,-22,-3,-20,-3,-20,-2,-19,-2,-19,-1,-19,-1,-19,0,-18,1,-18,1,-19,2,-19,2,-19,2,-18,2,-19,2,-18,2,-18,2,-18,1,-17,1,-16,1,-16,1,-16,0,-16,0,-17,0,-16,-1,-17,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,1,-13,0,-14,-1,-14,-1,-15,-1,-15,-3,-16,-3,-16,-4,-16,-5,-16,-5,-16,-5,-16,-4,-17,-5,-17,-4,-16,-4,-17,-4,-17,-4,-18,-3,-18,-3,-19,-2,-20,-2,-20,-2,-21,-2,-22,-1,-22,-1,-22,-2
1721764054457,83,-80,4,0,3,-22,4,-21,3,-20,3,-20,2,-20,1,-19,1,-19,0,-19,-1,-19,-1,-20,-1,-20,-1,-19,-1,-20,-1,-19,-1,-20,0,-19,0,-19,0,-18,0,-18,0,-17,1,-17,1,-16,2,-17,3,-17,4,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-13,-1,-14,0,-14,1,-14,1,-14,2,-16,2,-16,3,-16,4,-16,5,-16,5,-17,5,-17,5,-16,5,-16,5,-17,4,-17,3,-17,3,-18,3,-19,2,-19,2,-20,2,-21,2,-21,2,-22,3,-23,3,-23
1721764054474,83,-80,4,0,5,-27,5,-26,4,-26,4,-25,2,-24,2,-24,1,-24,-1,-24,-1,-24,-1,-24,-2,-24,-2,-24,-2,-23,-2,-24,-2,-24,-1,-24,-1,-23,-1,-22,-1,-22,-1,-21,0,-20,0,-21,2,-21,2,-21,4,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-16,0,-16,1,-17,2,-17,3,-18,3,-19,4,-19,5,-20,6,-19,7,-20,6,-20,6,-20,6,-20,6,-20,6,-20,6,-21,5,-21,4,-22,4,-23,3,-23,3,-25,3,-25,3,-26,4,-27,4,-28,4,-29
1721764054494,83,-80,4,0,-20,-9,-19,-9,-18,-8,-18,-7,-18,-7,-18,-7,-18,-6,-18,-5,-18,-4,-19,-4,-18,-4,-18,-4,-19,-4,-18,-4,-18,-4,-18,-4,-17,-5,-17,-5,-16,-5,-16,-5,-15,-5,-15,-5,-15,-6,-15,-6,-15,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-3,-12,-3,-12,-4,-13,-5,-13,-5,-13,-7,-13,-7,-13,-8,-13,-8,-14,-8,-14,-8,-14,-8,-14,-8,-14,-8,-14,-8,-15,-8,-15,-8,-15,-8,-17,-7,-17,-7,-18,-7,-18,-7,-19,-7,-20,-7,-20,-8,-21,-8
1721764054514,83,-80,4,0,-16,14,-16,14,-15,14,-15,14,-14,14,-13,14,-12,14,-11,14,-11,14,-11,15,-12,15,-11,15,-11,15,-11,15,-11,15,-12,14,-12,14,-11,13,-10,13,-10,13,-11,11,-11,11,-12,11,-13,11,-14,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,9,-8,9,-9,9,-10,9,-10,9,-11,13,10,-12,13,10,-12,9,-13,9,-13,8,-14,9,-13,9,-14,9,-14,9,-13,9,-13,13,10,-13,13,10,-13,11,-13,12,-14,13,-14,14,-14,14,-14,15,-16
1721764054536,83,-80,4,0,23,-8,22,-8,21,-8,20,-9,20,-9,19,-9,19,-10,18,-10,17,-11,18,-12,17,-12,17,-12,18,-11,18,-11,18,-11,18,-10,18,-10,17,-9,16,-9,16,-9,16,-8,17,-8,17,-7,17,-7,18,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-7,12,-6,13,-7,13,-6,14,-6,15,-5,16,-5,16,-5,16,-4,17,-4,17,-4,17,-4,18,-4,17,-4,18,-5,18,-5,18,-5,18,-6,18,-7,19,-8,20,-8,20,-9,21,-9,22,-10,22,-10,23,-10
