1721668045216,83,-80,4,0,-19,-10,-18,-10,-18,-10,-18,-9,-17,-8,-17,-8,-17,-7,-17,-7,-17,-7,-18,-6,-18,-6,-18,-6,-18,-6,-18,-6,-18,-7,-18,-7,-16,-7,-16,-7,-15,-7,-15,-8,-14,-7,-14,-8,-13,-8,-12,-9,-12,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-4,-9,-5,-9,-5,-10,-5,-11,-5,-11,-7,-11,-7,-12,-8,-12,-8,-12,-9,-12,-10,-12,-11,-12,-10,-12,-10,-12,-10,-12,-10,-13,-9,-13,-9,-14,-9,-15,-8,-16,-8,-16,-8,-17,-8,-18,-9,-19,-9,-18,-10
1721668045233,83,-80,4,0,-7,-19,-7,-20,-6,-19,-7,-19,-7,-18,-7,-17,-7,-17,-8,-17,-8,-17,-10,-17,-9,-16,-10,-17,-10,-17,-9,-17,-9,-18,-8,-17,-7,-18,-6,-17,-6,-16,-5,-16,-4,-15,-4,-15,-4,-15,-3,-15,-2,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-10,-3,-11,-3,-10,-4,-11,-4,-11,-3,-13,-3,-14,-2,-15,-2,-15,-2,-15,-1,-16,-1,-16,-1,-16,-1,-15,-1,-15,-2,-15,-2,-16,-3,-15,-4,-16,-5,-16,-5,-16,-6,-16,-6,-17,-8,-18,-8,-19,-8,-20
1721668045254,83,-80,4,0,15,-12,16,-13,14,-12,15,-12,14,-12,13,-12,13,-13,12,-13,11,-14,11,-15,11,-14,12,-15,12,-15,12,-14,13,-15,13,-13,13,-13,13,-12,12,-11,12,-11,12,-10,12,-10,12,-10,12,-9,13,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-7,13,10,-7,13,10,-7,11,-7,11,-7,12,-7,13,-7,14,-7,14,-6,14,-5,15,-6,15,-5,15,-5,15,-5,15,-5,14,-5,14,-6,13,-6,14,-7,13,-8,13,-9,14,-10,13,-10,14,-11,14,-12
1721668045273,83,-80,4,0,-9,19,-9,20,-7,19,-7,19,-6,19,-6,19,-5,19,-5,19,-3,19,-3,20,-3,20,-3,20,-4,21,-3,21,-4,22,-5,21,-5,20,-6,19,-6,18,-6,18,-7,16,-7,16,-7,16,-7,16,-9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,14,-6,13,-6,13,-7,14,-8,14,-9,16,-10,16,-11,16,-12,16,-13,15,-14,16,-14,15,-14,15,-14,14,-14,14,-13,14,-13,14,-12,14,-11,15,-11,15,-10,16,-10,17,-9,18,-9,19,-9,19,-9,20
1721668045294,83,-80,4,0,-14,-10,-15,-10,-14,-9,-14,-8,-15,-7,-14,-7,-15,-6,-15,-6,-15,-5,-16,-5,-16,-5,-17,-5,-17,-5,-16,-6,-17,-6,-16,-6,-16,-6,-15,-7,-14,-7,-14,-7,-13,-7,-14,-7,-13,-7,-12,-8,-12,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-6,-11,-7,-12,-7,-12,-8,-13,-8,-12,-10,-13,-10,-13,-11,-12,-13,-13,-13,-12,-14,-11,-14,-11,-14,-11,-14,-10,-14,-10,-13,-10,-13,-10,-12,-11,-12,-12,-11,-13,-11,-13,-11,-13,-11,-14,-11,-15,-10,-14,-11
1721668045322,83,-80,4,0,9,-17,9,-17,7,-16,7,-17,6,-16,5,-17,5,-17,3,-17,3,-17,2,-19,2,-18,2,-19,2,-19,2,-19,3,-20,3,-18,3,-19,4,-18,3,-17,4,-17,4,-16,4,-16,4,-16,5,-16,7,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-14,3,-14,4,-14,5,-15,6,-15,7,-17,8,-17,13,10,-17,11,-16,12,-16,12,-17,13,-16,13,-15,13,-15,13,-15,12,-15,12,-15,11,-14,12,-16,11,-16,11,-16,11,-16,13,10,-17,13,10,-18,13
1721668045341,83,-80,4,0,2,19,2,18,3,17,3,17,4,16,5,16,6,15,6,15,7,15,9,15,8,15,8,15,9,15,9,16,8,16,8,15,8,16,7,15,7,15,7,15,6,13,7,14,6,14,5,15,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,12,3,12,4,13,3,14,2,16,2,17,1,17,0,19,-1,18,-1,19,-2,19,-2,19,-3,19,-2,18,-2,19,-2,19,-1,18,-1,18,0,19,0,19,1,19,1,20,2,20,2,20,1,21
1721668045354,83,-80,4,0,-2,-24,-2,-25,-3,-23,-4,-23,-5,-21,-6,-21,-7,-21,-8,-21,-9,-21,-10,-21,-10,-21,-10,-21,-11,-22,-10,-21,-10,-22,-10,-20,-10,-21,-9,-20,-9,-20,-9,-20,-8,-19,-8,-18,-8,-19,-7,-20,-6,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-14,-5,-15,-4,-15,-4,-17,-4,-18,-3,-20,-2,-21,-1,-23,0,-23,0,-23,2,-25,2,-24,3,-24,3,-23,3,-24,2,-24,2,-24,2,-23,0,-24,0,-24,-1,-25,-1,-25,-1,-25,-2,-26,-2,-27,-2,-27
1721668045374,83,-80,4,0,15,-10,15,-11,14,-10,14,-11,13,-11,12,-12,12,-12,11,-12,11,-13,11,-14,11,-14,11,-14,11,-14,11,-13,11,-13,11,-12,11,-13,11,-12,13,10,-12,13,10,-11,13,10,-11,13,10,-10,11,-11,11,-10,12,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-8,6,-8,7,-8,7,-9,8,-9,13,10,-9,11,-9,12,-9,13,-9,13,-8,14,-8,14,-7,15,-7,15,-7,15,-7,14,-7,14,-8,14,-8,15,-9,14,-9,14,-10,15,-11,15,-10,16
1721668045393,83,-80,4,0,17,13,10,17,13,10,17,9,16,9,17,8,17,7,17,7,17,6,17,6,18,6,17,6,18,6,17,6,17,6,16,7,16,7,15,8,15,7,14,7,13,6,13,6,13,7,13,7,12,7,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,3,9,3,13,10,3,13,10,4,11,5,11,6,12,7,12,8,13,9,12,13,10,12,13,10,12,13,10,12,13,10,12,9,12,13,10,12,9,12,9,14,9,15,8,15,8,17
