1726029465643,83,-80,4,0,23,-4,23,-4,22,-4,22,-5,20,-5,20,-6,20,-7,19,-7,19,-8,19,-9,18,-8,19,-8,19,-8,19,-8,19,-8,18,-7,18,-7,17,-6,16,-5,16,-5,15,-4,15,-3,15,-2,14,-1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-4,8,-5,9,-5,13,10,-5,11,-4,13,-4,14,-3,15,-3,16,-2,17,-1,18,0,18,0,18,0,18,0,18,0,18,0,19,-1,20,-1,20,-2,21,-3,21,-3,22,-3,22,-3,23,-3,23,-3,24
1726029465672,83,-80,4,0,-19,-15,-19,-15,-19,-14,-19,-14,-19,-12,-19,-12,-19,-11,-20,-10,-20,-10,-20,-9,-20,-9,-20,-9,-20,-9,-20,-8,-20,-9,-19,-9,-18,-9,-17,-9,-16,-9,-16,-9,-14,-9,-13,-9,-12,-10,-11,-10,-11,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-3,-9,-5,-10,-5,-11,-6,-11,-7,-11,-9,-12,-10,-12,-11,-12,-12,-12,-14,-12,-15,-12,-15,-12,-15,-12,-15,-12,-15,-13,-15,-13,-15,-14,-15,-15,-15,-16,-15,-17,-15,-17,-16,-18,-16,-18,-16,-19,-16,-19,-16
1726029465684,83,-80,4,0,19,-8,19,-8,18,-8,18,-9,17,-9,16,-9,16,-10,15,-10,15,-11,15,-11,14,-12,15,-11,15,-11,15,-11,15,-11,15,-10,15,-10,14,-9,13,-8,13,-7,13,-6,12,-6,12,-5,12,-4,11,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-5,6,-6,7,-6,8,-6,9,-6,11,-6,12,-5,13,-5,13,-5,14,-5,15,-4,15,-4,16,-4,16,-4,16,-4,16,-4,16,-4,17,-5,17,-6,17,-6,17,-7,18,-7,19,-7,19,-8,19,-8,20,-9
1726029465703,83,-80,4,0,3,24,3,24,4,23,4,23,5,22,6,21,6,20,7,19,7,20,8,20,7,19,7,20,8,20,8,19,8,20,6,19,6,19,5,18,5,18,4,17,3,16,2,15,1,15,0,14,-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,8,4,9,3,13,10,4,12,3,13,2,15,2,16,2,17,0,17,-1,19,-1,19,-2,19,-2,19,-1,19,-1,19,0,20,0,20,1,21,2,22,1,22,3,22,2,23,2,24,2,24,3
1726029465728,83,-80,4,0,-30,-17,-31,-16,-29,-15,-30,-15,-29,-13,-29,-12,-29,-10,-29,-10,-28,-9,-30,-8,-30,-8,-30,-8,-31,-8,-29,-8,-29,-9,-27,-8,-28,-9,-26,-10,-24,-10,-24,-10,-21,-10,-20,-11,-19,-12,-18,-12,-17,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-2,-14,-4,-15,-4,-17,-6,-17,-6,-19,-10,-20,-10,-21,-12,-20,-13,-20,-15,-22,-17,-21,-17,-21,-18,-21,-18,-21,-18,-22,-18,-23,-17,-23,-16,-26,-18,-26,-17,-27,-17,-28,-17,-28,-17,-30,-18,-30,-18,-31,-18
1726029465743,83,-80,4,0,7,-24,7,-24,6,-24,5,-23,5,-23,4,-23,3,-22,2,-22,2,-22,1,-23,1,-22,1,-23,0,-22,1,-22,1,-22,2,-22,2,-21,2,-20,3,-19,3,-18,4,-17,4,-16,5,-15,5,-15,6,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-9,0,-10,0,-11,1,-12,2,-14,3,-14,4,-15,5,-16,6,-16,8,-17,8,-17,9,-17,9,-17,9,-17,9,-17,9,-18,8,-18,8,-20,8,-20,8,-21,8,-22,8,-22,8,-23,8,-24,8,-24,8,-24
1726029465765,83,-80,4,0,-27,6,-27,6,-27,6,-26,7,-25,8,-24,8,-23,9,-23,9,-23,13,10,-23,11,-22,11,-22,13,10,-22,11,-23,11,-22,13,10,-23,9,-22,8,-21,8,-20,7,-20,6,-19,4,-18,4,-18,3,-17,2,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,5,-9,5,-12,6,-12,5,-14,5,-15,5,-17,4,-18,3,-19,3,-21,2,-22,1,-22,1,-22,0,-22,0,-22,0,-23,1,-23,2,-24,2,-25,3,-25,4,-26,4,-26,5,-27,5,-28,6,-27
1726029465783,83,-80,4,0,-7,-24,-7,-24,-7,-23,-8,-23,-8,-22,-9,-21,-9,-20,-10,-20,-10,-19,-12,-20,-11,-19,-12,-19,-12,-19,-11,-19,-11,-19,-10,-19,-9,-19,-9,-19,-7,-18,-7,-17,-6,-16,-5,-16,-4,-16,-3,-15,-2,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-8,-6,-9,-6,-10,-6,-11,-5,-12,-5,-14,-5,-15,-4,-17,-4,-17,-3,-18,-2,-19,-2,-19,-2,-20,-1,-20,-2,-20,-3,-20,-3,-20,-3,-20,-4,-22,-5,-22,-5,-23,-5,-23,-6,-23,-6,-24,-6,-24,-7,-25
1726029465806,83,-80,4,0,2,-24,2,-25,1,-24,1,-24,0,-23,0,-23,-1,-22,-2,-22,-3,-21,-4,-22,-4,-22,-5,-22,-4,-22,-4,-21,-3,-22,-2,-21,-2,-21,-2,-20,-1,-19,0,-19,0,-17,0,-16,1,-16,2,-15,3,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-9,-2,-10,-2,-11,-1,-12,-1,-13,1,-15,1,-16,2,-17,3,-17,4,-18,4,-19,5,-19,5,-19,6,-19,6,-19,5,-19,5,-20,4,-20,4,-22,4,-22,4,-23,4,-23,3,-24,3,-25,2,-25,2,-26
1726029465823,83,-80,4,0,-25,-13,-25,-13,-24,-12,-25,-12,-24,-10,-24,-10,-24,-8,-24,-8,-24,-7,-24,-6,-24,-6,-24,-6,-25,-6,-24,-6,-24,-6,-23,-7,-23,-7,-21,-8,-20,-8,-19,-8,-18,-8,-17,-9,-16,-9,-15,-9,-14,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-2,-11,-2,-12,-3,-13,-4,-14,-5,-15,-7,-16,-8,-17,-10,-17,-11,-17,-12,-17,-13,-17,-14,-17,-14,-18,-14,-18,-14,-18,-14,-19,-14,-19,-13,-21,-14,-21,-13,-23,-13,-23,-13,-24,-14,-24,-14,-25,-14,-26,-14
1726029465845,83,-80,4,0,8,18,9,18,9,17,9,17,13,10,16,13,10,15,13,10,15,11,14,11,14,12,14,11,13,11,13,11,13,12,13,11,13,13,10,13,13,10,13,9,13,9,12,8,12,7,12,6,11,6,12,4,11,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,6,5,6,5,7,5,8,6,13,10,6,11,5,12,5,13,4,14,4,15,4,15,3,15,3,15,4,15,4,16,5,16,5,16,6,17,6,17,7,17,7,17,8,18
1726029465863,83,-80,4,0,-22,-3,-22,-3,-20,-3,-20,-2,-20,-2,-20,-1,-19,-1,-19,0,-18,1,-19,2,-19,2,-19,2,-20,2,-19,2,-19,1,-18,1,-18,0,-17,-1,-16,-1,-16,-1,-15,-2,-14,-2,-14,-2,-13,-3,-13,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,1,-9,1,-9,1,-11,0,-11,0,-13,-1,-13,-2,-14,-3,-15,-4,-15,-4,-16,-5,-16,-5,-16,-5,-16,-6,-17,-6,-17,-5,-17,-5,-17,-5,-18,-4,-18,-4,-20,-4,-20,-4,-20,-4,-21,-3,-22,-3,-22,-3
1726029465883,83,-80,4,0,-16,-19,-16,-18,-16,-18,-15,-17,-16,-16,-16,-16,-16,-15,-16,-14,-17,-13,-18,-13,-17,-13,-18,-13,-17,-13,-18,-13,-16,-13,-17,-13,-15,-13,-15,-13,-13,-13,-12,-13,-11,-13,-11,-13,-10,-13,-9,-12,-7,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-4,-8,-5,-9,-7,-9,-7,-10,-9,-10,-10,-11,-11,-11,-13,-10,-14,-10,-15,-10,-16,-10,-16,-10,-17,-10,-16,-10,-16,-11,-17,-11,-16,-12,-17,-12,-17,-13,-18,-14,-18,-14,-19,-15,-18,-16,-19,-16,-19,-16,-19
1726029465905,83,-80,4,0,-29,19,-30,19,-27,19,-27,19,-26,19,-25,19,-23,20,-23,20,-21,21,-20,23,-20,23,-20,24,-21,23,-20,22,-21,21,-20,20,-21,20,-21,18,-20,16,-20,16,-20,12,-19,12,-18,12,-18,11,-20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,9,-9,13,10,-10,11,-12,11,-14,11,-16,12,-18,12,-20,11,-22,13,10,-22,11,-23,11,-24,11,-24,11,-25,11,-26,11,-25,11,-26,12,-25,12,-27,14,-28,15,-28,15,-29,15,-28,17,-28,19,-29,20
1726029465924,83,-80,4,0,3,-21,3,-22,3,-20,3,-21,1,-20,1,-20,0,-19,-1,-19,-1,-18,-2,-19,-1,-19,-1,-19,-2,-20,-1,-18,-1,-19,-1,-18,0,-18,0,-18,0,-16,1,-16,2,-15,2,-14,3,-14,3,-13,4,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-7,-2,-9,-1,-10,-1,-11,0,-11,0,-13,1,-13,2,-14,3,-14,4,-15,4,-16,5,-16,6,-16,6,-16,5,-16,5,-16,5,-17,4,-17,4,-19,4,-19,3,-20,4,-20,4,-20,4,-21,4,-22,4,-22
1726029465943,83,-80,4,0,21,-12,21,-12,20,-12,19,-12,18,-13,18,-13,17,-13,16,-13,15,-14,16,-15,15,-15,15,-14,16,-15,15,-14,16,-14,15,-13,15,-13,15,-12,14,-11,14,-10,13,-9,13,-8,13,-7,13,-6,13,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-7,6,-7,7,-8,8,-8,13,10,-8,11,-8,12,-8,14,-8,15,-7,16,-7,17,-6,17,-6,18,-6,18,-6,18,-6,18,-6,18,-7,18,-7,19,-9,19,-9,20,-10,20,-10,20,-10,21,-11,21,-11,22
1726029465963,83,-80,4,0,-5,-24,-5,-24,-6,-23,-6,-23,-6,-22,-7,-21,-7,-21,-8,-20,-8,-20,-9,-20,-9,-19,-9,-19,-9,-20,-9,-20,-8,-20,-7,-19,-7,-19,-6,-19,-5,-18,-4,-17,-4,-17,-3,-16,-3,-16,-2,-15,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-7,-6,-8,-6,-9,-5,-11,-5,-12,-5,-13,-4,-15,-4,-16,-3,-17,-2,-18,-2,-19,-2,-19,-1,-19,-1,-19,-1,-19,-2,-20,-2,-20,-3,-20,-3,-21,-4,-22,-4,-22,-4,-23,-5,-23,-5,-24,-5,-24,-6,-25
1726029465983,83,-80,4,0,15,18,15,18,15,17,16,17,16,16,16,15,15,14,16,13,16,13,17,13,17,12,17,12,17,12,17,12,17,12,16,12,16,13,14,13,13,12,12,12,11,12,13,10,12,13,10,12,8,12,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,5,8,5,9,7,9,8,9,13,10,13,10,11,9,13,9,13,9,15,9,16,9,16,9,16,8,16,9,17,13,10,16,13,10,17,11,16,12,17,12,18,13,18,13,18,13,18
1726029466003,83,-80,4,0,2,23,2,24,3,22,3,22,3,21,4,20,5,20,5,20,6,19,7,19,7,19,7,19,7,20,6,19,6,19,5,19,5,19,4,18,4,17,3,16,2,15,1,15,1,15,0,14,-1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,8,4,9,3,13,10,3,11,3,13,2,14,1,15,0,16,0,17,0,18,0,18,-1,18,-1,18,-1,19,-2,19,-1,19,0,19,0,21,1,21,1,22,1,22,2,22,2,23,3,23,3
1726029466023,83,-80,4,0,3,23,3,23,4,22,4,22,4,21,5,20,6,20,6,19,7,19,8,18,8,18,8,19,8,19,8,19,7,19,7,19,6,18,6,18,5,16,4,16,3,15,2,15,2,15,1,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,8,4,9,3,13,10,3,11,3,13,2,14,2,15,1,16,0,17,0,18,0,18,-1,18,-1,18,-1,18,0,19,0,19,0,19,1,20,1,21,2,21,2,22,3,23,3,23,3,23,4
1726029466046,83,-80,4,0,-13,-21,-13,-21,-13,-20,-13,-19,-13,-18,-14,-18,-14,-17,-14,-17,-15,-16,-16,-15,-16,-15,-15,-15,-16,-15,-15,-16,-15,-15,-14,-15,-13,-15,-13,-15,-11,-15,-11,-15,-9,-14,-9,-14,-8,-14,-7,-14,-6,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-5,-8,-6,-8,-7,-9,-8,-9,-10,-9,-11,-9,-13,-9,-14,-8,-15,-8,-16,-8,-17,-8,-17,-7,-17,-7,-18,-7,-18,-8,-18,-9,-18,-9,-18,-10,-19,-10,-19,-11,-20,-11,-20,-12,-20,-12,-21,-13,-21,-13,-21
